36.31,275.43,0.03
AIR PLANT CHILLWAVE PHOTO BOOTH,0.000323411,8,0.0025718568588469185
STREET ART PHOTO BOOTH,0.00032322347,8,0.0025703655666003975
TOTE BAG COPPER MUG,0.00032287856,10,0.0032095284294234587
CLOUD BREAD FANNY PACK,0.00032264693,8,0.0025657807554671968
CHICHARRONES PHOTO BOOTH,0.00032252097,8,0.0025647790854870776
SEMIOTICS LISTICLE MIXTAPE,0.00032251878,10,0.0032059520874751493
GODARD MUSTACHE TILDE PHOTO BOOTH,0.00032226008,8,0.0025627044135188865
GOCHUJANG JEAN SHORTS FANNY PACK,0.00032214783,8,0.002561811769383698
AFFOGATO PHOTO BOOTH,0.00032212696,8,0.002561645805168986
TILDE SUCCULENTS OFFAL,0.00032191648,10,0.0031999650099403575
FLANNEL HOODIE,0.00032191488,8,0.0025599592842942345
MUG,0.00032140766,216,0.06900999459244533
HEALTH GOTH POLAROID WAYFARERS,0.00032117323,9,0.0028733191550695827
JUICE PALO,0.00032097366,10,0.003190593041749503
RACLETTE FIXIE COPPER MUG,0.00032026076,8,0.0025468052485089466
POKE FASHION AXE AFFOGATO,0.00032014717,10,0.0031823774353876735
TAXIDERMY TOFU MEDITATION,0.00031997496,10,0.003180665606361829
FORAGE WAYFARERS,0.00031977292,8,0.0025429258051689863
TILDE LOMO MEDITATION,0.00031973855,10,0.003178315606361829
DENIM SUBWAY TILE,0.000319657,10,0.0031775049701789266
PLAID SUBWAY TILE,0.00031956108,10,0.003176551491053678
CRED WAYFARERS,0.00031920156,8,0.002538382186878728
AFFOGATO,0.0003191399,204,0.0647162421471173
STUMPTOWN MIXTAPE,0.0003188351,10,0.003169334990059642
MESSENGER BAG CLICHE MEDITATION,0.00031849853,8,0.002532791491053678
V DISTILLERY STREET ART BANH MI SEMIOTICS,0.0003183242,10,0.0031642564612326045
TRADE WAYFARERS,0.00031832154,8,0.0025313840159045726
BANJO FANNY PACK CRAFT BEER BEARD,0.000318138,8,0.002529924453280318
